language,sent_id,tok_id,token,upos_spacy,lemma_spacy,upos_llm,lemma_llm,upos_llm_norm,parse_ok,error
en,12,0,There,PRON,there,PRON,There,PRON,True,
en,12,1,was,VERB,be,VERB,was,VERB,True,
en,12,2,a,DET,a,DET,a,DET,True,
en,12,3,little,ADJ,little,ADJ,little,ADJ,True,
en,12,4,laughter,NOUN,laughter,NOUN,laughter,NOUN,True,
en,12,5,in,ADP,in,ADV,in,ADV,True,
en,12,6,the,DET,the,DET,the,DET,True,
en,12,7,neighbouring,ADJ,neighbouring,ADJ,neighbouring,ADJ,True,
en,12,8,room,NOUN,room,NOUN,room,NOUN,True,
en,12,9,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,12,10,it,PRON,it,PRON,it,PRON,True,
en,12,11,was,AUX,be,VERB,was,VERB,True,
en,12,12,not,PART,not,CONJ,not,OTHER,True,
en,12,13,clear,ADJ,clear,ADJ,clear,ADJ,True,
en,12,14,from,ADP,from,ADV,from,ADV,True,
en,12,15,the,DET,the,ADP,the,ADP,True,
en,12,16,sound,NOUN,sound,NOUN,sound,NOUN,True,
en,12,17,of,ADP,of,ADP,of,ADP,True,
en,12,18,it,PRON,it,PRON,it,PRON,True,
en,12,19,whether,SCONJ,whether,CONJ,whether,OTHER,True,
en,12,20,there,PRON,there,PRON,there,PRON,True,
en,12,21,were,VERB,be,VERB,were,VERB,True,
en,12,22,several,ADJ,several,NUM,several,NUM,True,
en,12,23,people,NOUN,people,NOUN,people,NOUN,True,
en,12,24,laughing,VERB,laugh,NOUN,laughing,NOUN,True,
en,12,25,.,PUNCT,.,PUNCT,.,PUNCT,True,
en,14,0,"""",PUNCT,"""",PUNCT,"""",PUNCT,True,
en,14,1,It,PRON,it,PRON,It,PRON,True,
en,14,2,would,AUX,would,VERB,would,VERB,True,
en,14,3,be,AUX,be,AUX,be,AUX,True,
en,14,4,the,DET,the,DET,the,DET,True,
en,14,5,first,ADJ,first,ADJ,first,ADJ,True,
en,14,6,time,NOUN,time,NOUN,time,NOUN,True,
en,14,7,that,PRON,that,PRON,that,PRON,True,
en,14,8,'s,AUX,be,PUNCT,'s,PUNCT,True,
en,14,9,happened,VERB,happen,VERB,happened,VERB,True,
en,14,10,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,14,11,"""",PUNCT,"""",PUNCT,"""",PUNCT,True,
en,14,12,said,VERB,say,VERB,said,VERB,True,
en,14,13,K.,PROPN,K.,PUNCT,K.,PUNCT,True,
en,14,14,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,14,15,as,SCONJ,as,CONJ,as,OTHER,True,
en,14,16,he,PRON,he,PRON,he,PRON,True,
en,14,17,jumped,VERB,jump,VERB,jumped,VERB,True,
en,14,18,out,ADP,out,ADP,out,ADP,True,
en,14,19,of,ADP,of,ADP,of,ADP,True,
en,14,20,bed,NOUN,bed,NOUN,bed,NOUN,True,
en,14,21,and,CCONJ,and,CONJ,and,OTHER,True,
en,14,22,quickly,ADV,quickly,ADV,quickly,ADV,True,
en,14,23,pulled,VERB,pull,VERB,pulled,VERB,True,
en,14,24,on,ADP,on,ADP,on,ADP,True,
en,14,25,his,PRON,his,PRON,his,PRON,True,
en,14,26,trousers,NOUN,trouser,NOUN,trousers,NOUN,True,
en,14,27,.,PUNCT,.,PUNCT,.,PUNCT,True,
en,17,0,That,PRON,that,PRON,That,PRON,True,
en,17,1,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,17,2,at,ADP,at,ADP,at,ADP,True,
en,17,3,least,ADJ,least,ADJ,least,ADJ,True,
en,17,4,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,17,5,is,AUX,be,VERB,is,VERB,True,
en,17,6,how,SCONJ,how,PRON,how,PRON,True,
en,17,7,the,DET,the,DET,the,DET,True,
en,17,8,stranger,NOUN,stranger,NOUN,stranger,NOUN,True,
en,17,9,took,VERB,take,VERB,took,VERB,True,
en,17,10,it,PRON,it,PRON,it,PRON,True,
en,17,11,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,17,12,as,SCONJ,as,CONJ,as,OTHER,True,
en,17,13,he,PRON,he,PRON,he,PRON,True,
en,17,14,said,VERB,say,VERB,said,VERB,True,
en,17,15,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,17,16,"""",PUNCT,"""",PUNCT,"""",PUNCT,True,
en,17,17,Do,AUX,do,PRON,Do,PRON,True,
en,17,18,n't,PART,not,AUX,n't,AUX,True,
en,17,19,you,PRON,you,PRON,you,PRON,True,
en,17,20,think,VERB,think,VERB,think,VERB,True,
en,17,21,you,PRON,you,PRON,you,PRON,True,
en,17,22,'d,AUX,would,AUX,'d,AUX,True,
en,17,23,better,ADV,well,ADJ,better,ADJ,True,
en,17,24,stay,VERB,stay,VERB,stay,VERB,True,
en,17,25,where,SCONJ,where,ADV,where,ADV,True,
en,17,26,you,PRON,you,PRON,you,PRON,True,
en,17,27,are,AUX,be,NOUN,are,NOUN,True,
en,17,28,?,PUNCT,?,PUNCT,?,PUNCT,True,
en,17,29,"""",PUNCT,"""",PUNCT,"""",PUNCT,True,
en,26,0,Through,ADP,through,ADV,Through,ADV,True,
en,26,1,the,DET,the,DET,the,DET,True,
en,26,2,open,ADJ,open,ADJ,open,ADJ,True,
en,26,3,window,NOUN,window,NOUN,window,NOUN,True,
en,26,4,he,PRON,he,PRON,he,PRON,True,
en,26,5,noticed,VERB,notice,VERB,noticed,VERB,True,
en,26,6,the,DET,the,DET,the,DET,True,
en,26,7,old,ADJ,old,ADJ,old,ADJ,True,
en,26,8,woman,NOUN,woman,NOUN,woman,NOUN,True,
en,26,9,again,ADV,again,ADV,again,ADV,True,
en,26,10,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,26,11,who,PRON,who,PRON,who,PRON,True,
en,26,12,had,AUX,have,VERB,had,VERB,True,
en,26,13,come,VERB,come,VERB,come,VERB,True,
en,26,14,close,ADV,close,ADJ,close,ADJ,True,
en,26,15,to,ADP,to,ADV,to,ADV,True,
en,26,16,the,DET,the,DET,the,DET,True,
en,26,17,window,NOUN,window,NOUN,window,NOUN,True,
en,26,18,opposite,ADV,opposite,ADJ,opposite,ADJ,True,
en,26,19,so,SCONJ,so,ADV,so,ADV,True,
en,26,20,that,SCONJ,that,DET,that,DET,True,
en,26,21,she,PRON,she,PRON,she,PRON,True,
en,26,22,could,AUX,could,VERB,could,VERB,True,
en,26,23,continue,VERB,continue,VERB,continue,VERB,True,
en,26,24,to,PART,to,ADV,to,ADV,True,
en,26,25,see,VERB,see,VERB,see,VERB,True,
en,26,26,everything,PRON,everything,NOUN,everything,NOUN,True,
en,26,27,.,PUNCT,.,PUNCT,.,PUNCT,True,
en,32,0,"""",PUNCT,"""",PUNCT,"""",PUNCT,True,
en,32,1,That,PRON,that,PRON,That,PRON,True,
en,32,2,'s,AUX,be,PART,'s,PART,True,
en,32,3,something,PRON,something,NOUN,something,NOUN,True,
en,32,4,we,PRON,we,PRON,we,PRON,True,
en,32,5,'re,AUX,be,VERB,'re,VERB,True,
en,32,6,not,PART,not,AUX,not,AUX,True,
en,32,7,allowed,VERB,allow,ADJ,allowed,ADJ,True,
en,32,8,to,PART,to,ADV,to,ADV,True,
en,32,9,tell,VERB,tell,VERB,tell,VERB,True,
en,32,10,you,PRON,you,PRON,you,PRON,True,
en,32,11,.,PUNCT,.,PUNCT,.,PUNCT,True,
